page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
516971,Aa-Thak (Earth-616),\/Aa-Thak_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Aug-80,1980
10127,Aaidan Blomfield (Earth-616),\/Aaidan_Blomfield_(Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,2,Jul-96,1996
15357,Aalbort (Earth-616),\/Aalbort_(Earth-616),No Dual Identity,,White Eyes,White Hair,Male Characters,,Living Characters,1,Jun-89,1989
590413,Aaliyah Hardin (Earth-616),\/Aaliyah_Hardin_(Earth-616),No Dual Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,4,Dec-02,2002
15358,Aamir (Earth-616),\/Aamir_(Earth-616),Secret Identity,,,Black Hair,Male Characters,,Living Characters,1,Mar-03,2003
15359,Aamshed (Earth-616),\/Aamshed_(Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,6,Dec-04,2004
15360,Aan Taanu (Earth-616),\/Aan_Taanu_(Earth-616),Secret Identity,,,,Male Characters,,Living Characters,3,Oct-91,1991
15361,Aardvark (Earth-616),\/Aardvark_(Earth-616),Secret Identity,,,Brown Hair,Male Characters,,Living Characters,1,,2013
5557,Aarkus (Earth-616),\/Aarkus_(Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,,Living Characters,72,Nov-40,1940
682283,Aaron Amberson (Earth-616),\/Aaron_Amberson_(Earth-616),No Dual Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1,Aug-99,1999
718599,Aaron Carpenter (Earth-616),\/Aaron_Carpenter_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,,2
321200,Aaron Cashin (Earth-616),\/Aaron_Cashin_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,8,Jun-92,1992
13241,Aaron Chord (Earth-616),\/Aaron_Chord_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,24,Aug-90,1990
341458,Aaron Downing (Earth-616),\/Aaron_Downing_(Earth-616),No Dual Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,4,Aug-10,2010
4112,Aaron English (Earth-616),\/Aaron_English_(Earth-616),Public Identity,Good Characters,,Strawberry Blond Hair,Male Characters,,Living Characters,18,Sep-77,1977
499534,Aaron MacKenzie (Earth-616),\/Aaron_MacKenzie_(Earth-616),No Dual Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,11,Apr-11,2011
13464,Aaron Nicholson (Earth-616),\/Aaron_Nicholson_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,39,Jun-84,1984
590395,Aaron Rosenberg (Earth-616),\/Aaron_Rosenberg_(Earth-616),No Dual Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,3,Dec-02,2002
2568,Aaron Salomon (Earth-616),\/Aaron_Salomon_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,18,Nov-77,1977
2129,Aaron Soames (Earth-616),\/Aaron_Soames_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,3,Nov-80,1980
71137,Aaron Stankey (Earth-616),\/Aaron_Stankey_(Earth-616),No Dual Identity,Neutral Characters,,,Male Characters,,Living Characters,3,Sep-77,1977
437733,Aaron Thorne (Earth-616),\/Aaron_Thorne_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,4,Jul-94,1994
172215,Aaron Verne (Earth-616),\/Aaron_Verne_(Earth-616),Public Identity,Bad Characters,,Bald,Male Characters,,Living Characters,2,Dec-80,1980
546725,Aaron the Aakon (Earth-616),\/Aaron_the_Aakon_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,1,Aug-89,1989
57923,Aaron the Sorcerer (Earth-616),\/Aaron_the_Sorcerer_(Earth-616),Secret Identity,,,Brown Hair,Male Characters,,Living Characters,1,Mar-62,1962
15363,Abadon (Earth-616),\/Abadon_(Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,4,Jun-93,1993
18385,Abahla (Earth-616),\/Abahla_(Earth-616),Secret Identity,,,Black Hair,Male Characters,,Living Characters,1,Apr-93,1993
547012,Aban (Earth-616),\/Aban_(Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,3,Jul-09,2009
527397,Abara and Cadabra (Earth-616),\/Abara_and_Cadabra_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Oct-47,1947
547057,Abarac (Earth-616),\/Abarac_(Earth-616),No Dual Identity,Good Characters,,White Hair,Male Characters,,Living Characters,1,Nov-70,1970
246082,Abbas al-Abbad (Earth-616),\/Abbas_al-Abbad_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,May-07,2007
547060,Abbess Horror (Earth-616),\/Abbess_Horror_(Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Deceased Characters,2,Dec-06,2006
386848,Abbey Sykes (Earth-616),\/Abbey_Sykes_(Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,5,Nov-10,2010
665217,Abby Levine (Earth-616),\/Abby_Levine_(Earth-616),No Dual Identity,,Black Eyes,Blond Hair,Female Characters,,Living Characters,4,Dec-96,1996
34458,Abd-el-Hazred (Earth-616),\/Abd-el-Hazred_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,8,Aug-78,1978
674019,Abdi (Earth-616),\/Abdi_(Earth-616),No Dual Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,3,,2013
483364,Abdol (Earth-616),\/Abdol_(Earth-616),No Dual Identity,,,,Male Characters,,Deceased Characters,1,Apr-98,1998
18396,Abdul (Earth-616),\/Abdul_(Earth-616),Secret Identity,,,,Male Characters,,Living Characters,1,Jul-82,1982
2510,Abdul Faoul (Earth-616),\/Abdul_Faoul_(Earth-616),Secret Identity,,,Black Hair,Male Characters,,Deceased Characters,6,Dec-77,1977
34221,Abdul Qamar (Earth-616),\/Abdul_Qamar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,16,Aug-80,1980
18394,Abel (Earth-616),\/Abel_(Earth-616),No Dual Identity,,,Bald,Male Characters,,Living Characters,2,Jun-02,2002
115994,Abel Stack (Earth-616),\/Abel_Stack_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,4,Jul-77,1977
15627,Aberdeen Angus (Earth-616),\/Aberdeen_Angus_(Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,3,Feb-93,1993
511845,Aberham (Earth-616),\/Aberham_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1,,2013
723487,Abigail (Earth-616),\/Abigail_(Earth-616),,,Brown Eyes,Blond Hair,Female Characters,,Living Characters,4,Aug-06,2006
623288,Abigail Baxter (Earth-616),\/Abigail_Baxter_(Earth-616),,,,Black Hair,Female Characters,,Living Characters,1,Dec-00,2000
52832,Abigail Boylen (Earth-616),\/Abigail_Boylen_(Earth-616),Known to Authorities Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,40,May-07,2007
33266,Abigail Brand (Earth-616),\/Abigail_Brand_(Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,97,Sep-04,2004
674333,Abigail Burns (Earth-616),\/Abigail_Burns_(Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,9,,2013
89791,Abigail Dunton (Earth-616),\/Abigail_Dunton_(Earth-616),Secret Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,7,Jun-07,2007
237979,Abigail Harkness (Earth-616),\/Abigail_Harkness_(Earth-616),,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,1,Jan-00,2000
18667,Abigail Varden (Earth-616),\/Abigail_Varden_(Earth-616),,,,,Female Characters,,Living Characters,1,Feb-46,1946
4627,Abigail Wright (Earth-616),\/Abigail_Wright_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Pink Hair,Female Characters,,Living Characters,24,Dec-87,1987
395830,Abira (Earth-616),\/Abira_(Earth-616),Public Identity,Good Characters,Red Eyes,Red Hair,Female Characters,,Living Characters,11,Oct-10,2010
487765,Able Doone (Earth-616),\/Able_Doone_(Earth-616),No Dual Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,1,Jun-43,1943
280471,Abner (Mutant) (Earth-616),\/Abner_(Mutant)_(Earth-616),,,Black Eyes,Brown Hair,Male Characters,,Living Characters,1,Nov-89,1989
18392,Abner Abernathy (Earth-616),\/Abner_Abernathy_(Earth-616),No Dual Identity,,,,Male Characters,,Living Characters,1,Mar-82,1982
339591,Abner Doolittle (Earth-616),\/Abner_Doolittle_(Earth-616),Secret Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,6,Sep-76,1976
18391,Abner Dunson (Earth-616),\/Abner_Dunson_(Earth-616),No Dual Identity,,,,Male Characters,,Living Characters,1,May-93,1993
4565,Abner Jenkins (Earth-616),\/Abner_Jenkins_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,284,Aug-64,1964
1604,Abner Jonas (Earth-616),\/Abner_Jonas_(Earth-616),,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,6,Oct-65,1965
59402,Abner Little (Earth-616),\/Abner_Little_(Earth-616),Public Identity,,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,19,Jan-77,1977
471638,Abomination (Morlock) (Earth-616),\/Abomination_(Morlock)_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,No Hair,Male Characters,,Living Characters,1,Mar-11,2011
70947,Abraham Beame (Earth-616),\/Abraham_Beame_(Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,2,Aug-76,1976
19650,Abraham Brown (Earth-616),\/Abraham_Brown_(Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,48,Apr-74,1974
91863,Abraham Cornelius (Earth-616),\/Abraham_Cornelius_(Earth-616),,,,,Male Characters,,Deceased Characters,26,Mar-91,1991
50879,Abraham Erskine (Earth-616),\/Abraham_Erskine_(Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,48,Mar-41,1941
578386,Abraham James (Earth-616),\/Abraham_James_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Jun-79,1979
1763,Abraham Kieros (Earth-616),\/Abraham_Kieros_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,19,Dec-86,1986
199279,Abraham Klein (Earth-616),\/Abraham_Klein_(Earth-616),No Dual Identity,,Brown Eyes,White Hair,Male Characters,,Deceased Characters,15,Jan-76,1976
637707,Abraham Lincoln (Earth-616),\/Abraham_Lincoln_(Earth-616),Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Deceased Characters,8,Jan-66,1966
553581,Abraham Lincoln (Robot) (Earth-616),\/Abraham_Lincoln_(Robot)_(Earth-616),Secret Identity,Neutral Characters,Grey Eyes,Brown Hair,Male Characters,,Living Characters,2,May-82,1982
340176,Abraham Verne (Earth-616),\/Abraham_Verne_(Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,,Living Characters,5,Jan-04,2004
295056,Abraham Wilson (Heroes Reborn) (Earth-616),\/Abraham_Wilson_(Heroes_Reborn)_(Earth-616),No Dual Identity,Good Characters,,Grey Hair,Male Characters,,Deceased Characters,3,Nov-96,1996
22362,Abraham Zimmer (Earth-616),\/Abraham_Zimmer_(Earth-616),,Good Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,44,Jun-87,1987
57922,Abraham van Helsing (Earth-616),\/Abraham_van_Helsing_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,7,Apr-72,1972
503088,Abrams (Earth-616),\/Abrams_(Earth-616),No Dual Identity,,,Blond Hair,Male Characters,,Living Characters,1,May-88,1988
1026,Absalom (Earth-616),\/Absalom_(Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,6,May-92,1992
10633,Absolon Mercator (Earth-616),\/Absolon_Mercator_(Earth-616),Secret Identity,Good Characters,Blue Eyes,No Hair,Male Characters,,Deceased Characters,16,Aug-04,2004
48375,Absynthe (Earth-616),\/Absynthe_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,6,Mar-07,2007
18388,Absynthia van Mort (Earth-616),\/Absynthia_van_Mort_(Earth-616),,,,Black Hair,Female Characters,,Living Characters,1,Nov-97,1997
36255,Abu Ben Hakim (Earth-616),\/Abu_Ben_Hakim_(Earth-616),,Good Characters,,,Male Characters,,Living Characters,2,Sep-65,1965
15379,Abu Dakir (Earth-616),\/Abu_Dakir_(Earth-616),No Dual Identity,Bad Characters,,White Hair,Male Characters,,Living Characters,3,Apr-67,1967
18387,Abu Ho Dadi (Earth-616),\/Abu_Ho_Dadi_(Earth-616),Secret Identity,,,,Male Characters,,Living Characters,1,Aug-77,1977
349580,Abu M\u016bs\u0101 J\u0101bir ibn Hayy\u0101n al-Azdi (Earth-616),\/Abu_M%C5%ABs%C4%81_J%C4%81bir_ibn_Hayy%C4%81n_al-Azdi_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,1,Oct-10,2010
557491,Abu-Jamal Rodriguez (Earth-616),\/Abu-Jamal_Rodriguez_(Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Jun-05,2005
441247,Abwama (Earth-616),\/Abwama_(Earth-616),No Dual Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Jun-40,1940
302420,Abyss (Earth-616),\/Abyss_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Jan-08,2008
555399,Abysss (Earth-616),\/Abysss_(Earth-616),Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,3,Jan-94,1994
18386,Acba (Earth-616),\/Acba_(Earth-616),Secret Identity,Neutral Characters,White Eyes,No Hair,Male Characters,,Living Characters,1,Aug-91,1991
556289,Accolon (Earth-616),\/Accolon_(Earth-616),No Dual Identity,Neutral Characters,,No Hair,,,Living Characters,1,Sep-81,1981
302657,Ace (G.R.A.M.P.A) (Earth-616),\/Ace_(G.R.A.M.P.A)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Living Characters,4,Jan-06,2006
53473,Ace (Pilot) (Earth-616),\/Ace_(Pilot)_(Earth-616),,,,,Male Characters,,Living Characters,1,,2013
556443,Ace (SHIELD Agent) (Earth-616),\/Ace_(SHIELD_Agent)_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,1,Sep-73,1973
12814,Ace Fenton (Earth-616),\/Ace_Fenton_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Jun-64,1964
754635,Ace Maxwell (Earth-616),\/Ace_Maxwell_(Earth-616),No Dual Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Mar-46,1946
15637,Ace Spencer (Earth-616),\/Ace_Spencer_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,Oct-85,1985
543791,Ace Turmbull (Earth-616),\/Ace_Turmbull_(Earth-616),Secret Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,1,Oct-48,1948
15380,Aces Wilde (Earth-616),\/Aces_Wilde_(Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,1,Mar-70,1970
395834,Achak (Earth-616),\/Achak_(Earth-616),No Dual Identity,Good Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,1,Nov-10,2010
3807,Achebe (Earth-616),\/Achebe_(Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,12,Jan-99,1999
15381,Achelous (Earth-616),\/Achelous_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,12,Jun-05,2005
1175,Achille DiBacco (Earth-616),\/Achille_DiBacco_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,14,Mar-79,1979
15382,Achilles (Greek Legend) (Earth-616),\/Achilles_(Greek_Legend)_(Earth-616),No Dual Identity,,,Blond Hair,Male Characters,,Deceased Characters,6,Nov-79,1979
15383,Achilles (Helmut) (Earth-616),\/Achilles_(Helmut)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,25,Mar-91,1991
245406,Achmed El Gib\u00e1r (Earth-616),\/Achmed_El_Gib%C3%A1r_(Earth-616),Secret Identity,Neutral Characters,,White Hair,Male Characters,,Deceased Characters,6,Dec-76,1976
19493,Achmed Korba (Earth-616),\/Achmed_Korba_(Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,9,Mar-77,1977
18414,Acidroid (Earth-616),\/Acidroid_(Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Deceased Characters,1,Feb-99,1999
527208,Acrobat (1940s) (Earth-616),\/Acrobat_(1940s)_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Oct-47,1947
15385,Acrobat (Spider-Squad) (Earth-616),\/Acrobat_(Spider-Squad)_(Earth-616),,,,,Male Characters,,Living Characters,1,Aug-77,1977
16583,Acroyear (Earth-616),\/Acroyear_(Earth-616),No Dual Identity,Good Characters,Grey Eyes,No Hair,Male Characters,,Living Characters,99,Jan-79,1979
7775,Actor (Spy) (Earth-616),\/Actor_(Spy)_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,2,Jun-63,1963
18411,Adahm (Earth-616),\/Adahm_(Earth-616),No Dual Identity,Bad Characters,Black Eyes,Bald,Male Characters,,Living Characters,1,Oct-93,1993
566831,Adai (Earth-616),\/Adai_(Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,1,Jun-06,2006
504518,Adam (Earth-616),\/Adam_(Earth-616),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,7,Aug-11,2011
287336,Adam (Priest) (Earth-616),\/Adam_(Priest)_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,,Living Characters,4,Jan-06,2006
53475,Adam Able (Earth-616),\/Adam_Able_(Earth-616),Secret Identity,,,,Male Characters,,Living Characters,2,Jul-62,1962
32268,Adam Austin (Earth-616),\/Adam_Austin_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2,Aug-06,2006
16881,Adam Berman (Earth-616),\/Adam_Berman_(Earth-616),Secret Identity,Good Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,1,Sep-97,1997
184896,Adam Brashear (Earth-616),\/Adam_Brashear_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,19,Jan-09,2009
86057,Adam Clayton (Earth-616),\/Adam_Clayton_(Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,,Living Characters,3,Feb-59,1959
16590,Adam Crown (Earth-616),\/Adam_Crown_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,22,Aug-91,1991
4054,Adam Destine (Earth-616),\/Adam_Destine_(Earth-616),Secret Identity,,,Blond Hair,Male Characters,,Living Characters,19,Oct-94,1994
468957,Adam Essex (Earth-41001),\/Adam_Essex_(Earth-41001),Secret Identity,Neutral Characters,,,Male Characters,,Deceased Characters,1,Sep-05,2005
335958,Adam Essex (Earth-616),\/Adam_Essex_(Earth-616),No Dual Identity,Neutral Characters,,,Male Characters,,Deceased Characters,2,Jul-96,1996
260692,Adam Fisher (Earth-616),\/Adam_Fisher_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Nov-96,1996
129835,Adam Harkins (Earth-616),\/Adam_Harkins_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Red Hair,Male Characters,,Deceased Characters,9,Dec-06,2006
15394,Adam II (Earth-616),\/Adam_II_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,No Hair,Male Characters,,Living Characters,11,Aug-77,1977
299117,Adam K'ad-Mon (Earth-616),\/Adam_K%27ad-Mon_(Earth-616),No Dual Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Apr-74,1974
689298,Adam Mann (Earth-616),\/Adam_Mann_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Apr-11,2011
15392,Adam Manna (Earth-616),\/Adam_Manna_(Earth-616),,,,Brown Hair,Male Characters,,Living Characters,2,Dec-78,1978
1030,Adam Neramani (Earth-616),\/Adam_Neramani_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,21,Oct-93,1993
446075,Adam Peters (Earth-616),\/Adam_Peters_(Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,1,Jun-88,1988
286800,Adam Plunder (Earth-616),\/Adam_Plunder_(Earth-616),,Good Characters,,Blond Hair,Male Characters,,Living Characters,3,Oct-88,1988
724222,Adam Simon (Earth-616),\/Adam_Simon_(Earth-616),,,Blue Eyes,Black Hair,Male Characters,,Living Characters,1,Nov-08,2008
1029,Adam Warlock (Earth-616),\/Adam_Warlock_(Earth-616),No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,,Living Characters,252,Sep-67,1967
566952,Adam Wright (Earth-616),\/Adam_Wright_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2,Jan-91,1991
42774,Adamantine (Earth-616),\/Adamantine_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1,Feb-07,2007
515916,Adams (Earth-616),\/Adams_(Earth-616),,,,Blond Hair,Male Characters,,Living Characters,1,Mar-65,1965
18406,Adap-Tor (Earth-616),\/Adap-Tor_(Earth-616),,,,,,,Living Characters,1,Apr-87,1987
430482,Addison Blackburn (Earth-616),\/Addison_Blackburn_(Earth-616),No Dual Identity,Bad Characters,,Grey Hair,Male Characters,,Living Characters,1,Apr-80,1980
16455,Addison Falk (Earth-616),\/Addison_Falk_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Red Hair,Male Characters,,Deceased Characters,3,Oct-98,1998
743138,Adele Hawthorne (Earth-616),\/Adele_Hawthorne_(Earth-616),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,1,Aug-97,1997
668705,Adelicia von Krupp (Earth-616),\/Adelicia_von_Krupp_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1,Jul-97,1997
738533,Adelynn Duquesne (Earth-616),\/Adelynn_Duquesne_(Earth-616),Secret Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,2,,2
340177,Adewale Ekoku (Earth-616),\/Adewale_Ekoku_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,1,Jul-02,2002
90145,Adjudicator (Earth-616),\/Adjudicator_(Earth-616),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,4,Aug-07,2007
32727,Adjunct (Earth-616),\/Adjunct_(Earth-616),Secret Identity,Good Characters,Purple Eyes,Purple Hair,Female Characters,,Living Characters,1,Jan-92,1992
493369,Admiral Footsu (Earth-616),\/Admiral_Footsu_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Mar-44,1944
473821,Admiral Leeds (Earth-616),\/Admiral_Leeds_(Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,3,Nov-41,1941
477315,Admiral Nippo (Earth-616),\/Admiral_Nippo_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Jun-42,1942
472372,Admiral Nodope (Earth-616),\/Admiral_Nodope_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,May-42,1942
485319,Admiral von Roeder (Earth-616),\/Admiral_von_Roeder_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Mar-43,1943
1800,Adolf Hitler (Clone) (Earth-616),\/Adolf_Hitler_(Clone)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,30,Dec-63,1963
101355,Adolf Hitler (Earth-616),\/Adolf_Hitler_(Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,145,Sep-40,1940
663472,Adolf Impossible (Earth-616),\/Adolf_Impossible_(Earth-616),No Dual Identity,Good Characters,Black Eyes,No Hair,Male Characters,,Living Characters,7,,2013
18403,Adolphus (Earth-616),\/Adolphus_(Earth-616),Secret Identity,,,,Male Characters,,Living Characters,5,Jul-04,2004
744912,Adomox (Earth-616),\/Adomox_(Earth-616),Public Identity,Bad Characters,Yellow Eyes,Blond Hair,Male Characters,,Living Characters,2,,2
